,type,value,memory,function,repetitions
total,11.35741925239563,2048,writer,200
lock,1.58894014358520,2048,writer,200
atomic,1.4154884815216064,2048,writer,200
commit,1.426288366317749,2048,writer,200
push,6.851726055145264 ,2048,writer,200
total, 13.082857608795166,1024,writer,200
lock,1.587695837020874,1024,writer,200
atomic,1.4389491081237793 ,1024,writer,200
commit,1.4202580451965332,1024,writer,200
push,8.563399314880371,1024,writer,200
total,19.0860588550567636,512,writer,200
lock,1.5275216102600098,512,writer,200
atomic,1.656787395477295,512,writer,200
commit,1.3938827514648438 ,512,writer,200
push,14.435800313949585,512,writer,200
total,24.152212858200073 ,512,distributor,200
notify,0.47489452362060547 ,512,distributor,200
write,14.958737134933472,512,distributor,200
watch_write,0.014689207077026367,512,distributor,200
watch_wait,8.62536096572876,512,distributor,200
total,22.765912532806396,1024,distributor,200
notify, 0.47463560104370117,1024,distributor,200
write, 15.701324224472046 ,1024,distributor,200
watch_write,0.012522697448730469,1024,distributor,200
watch_wait,6.497507810592651,1024,distributor,200
total,19.511343955993652 ,2048,distributor,200
notify,0.454387903213501 ,2048,distributor,200
write,12.652981281280518,2048,distributor,200
watch_write,0.014125585556030273,2048,distributor,200
watch_wait,6.308696269989014,2048,distributor,200
