,path,length
0,/hbase,0
1,/hbase/meta-region-server,53
2,/hbase/rs,0
3,"/hbase/rs/slave1,16020,1698778362441",320
4,"/hbase/rs/slave3,16020,1698778362843",320
5,"/hbase/rs/slave2,16020,1698778363089",320
6,/hbase/splitWAL,0
7,/hbase/backup-masters,0
8,/hbase/flush-table-proc,0
9,/hbase/flush-table-proc/abort,0
10,/hbase/flush-table-proc/acquired,0
11,/hbase/flush-table-proc/reached,0
12,/hbase/master-maintenance,0
13,/hbase/online-snapshot,0
14,/hbase/online-snapshot/abort,0
15,/hbase/online-snapshot/acquired,0
16,/hbase/online-snapshot/reached,0
17,/hbase/switch,0
18,/hbase/master,54
19,/hbase/running,59
20,/hbase/draining,0
21,/hbase/namespace,0
22,/hbase/namespace/default,34
23,/hbase/namespace/hbase,32
24,/hbase/hbaseid,67
25,/hbase/table,0
26,/hbase/table/usertable,31
27,/hbase/table/hbase:meta,31
28,/hbase/table/hbase:namespace,31
